latitud,longitud,timestamp,day,month,year,hour,minute,voltage_V_A,current_A_A,power_W_A,pf_A,freq_Hz_A,energy_Wh_A,voltage_V_B,current_A_B,power_W_B,pf_B,freq_Hz_B,energy_Wh_B,id_punto
25.648629,-100.279387,2026-05-01 09:14:00,1,5,2026,9,14,127.2,41.88,5102,0.95,59.18,43631,124.6,51.23,6124,0.95,58.93,59128,25.648629_-100.279387
25.648629,-100.279387,2026-05-01 10:12:00,1,5,2026,10,12,126.9,42.01,5121,0.95,59.18,43682,124.5,50.94,6103,0.96,58.96,59185,25.648629_-100.279387
25.648629,-100.279387,2026-05-01 11:14:00,1,5,2026,11,14,126.2,42.24,5139,0.96,59.2,43733,124.8,41.6,5061,0.97,58.96,59245,25.648629_-100.279387
25.648629,-100.279387,2026-05-01 12:13:00,1,5,2026,12,13,126.3,2.61,141,0.42,59.18,43761,124.9,10.44,1189,0.91,58.93,59277,25.648629_-100.279387
25.648629,-100.279387,2026-05-01 13:40:00,1,5,2026,13,40,124.6,46.88,5703,0.97,59.18,43776,124.6,52.5,6343,0.96,58.95,59300,25.648629_-100.279387
25.648629,-100.279387,2026-05-01 14:33:00,1,5,2026,14,33,124.3,45.71,5540,0.97,59.18,43824,124.4,42.87,5227,0.97,58.95,59351,25.648629_-100.279387
25.648629,-100.279387,2026-05-01 15:30:00,1,5,2026,15,30,125.0,47.07,5717,0.97,59.15,43896,123.7,53.24,6366,0.96,58.9,59426,25.648629_-100.279387
25.648629,-100.279387,2026-05-01 16:27:00,1,5,2026,16,27,124.2,47.82,5798,0.97,59.15,43965,123.5,46.27,5612,0.98,58.9,59498,25.648629_-100.279387
25.648629,-100.279387,2026-05-01 17:28:00,1,5,2026,17,28,124.2,43.59,5270,0.97,59.18,44025,124.2,51.18,6169,0.96,58.93,59561,25.648629_-100.279387
25.648629,-100.279387,2026-05-01 19:12:00,1,5,2026,19,12,125.7,9.2,556,0.48,59.13,44092,126.0,4.0,365,0.72,58.92,59634,25.648629_-100.279387
25.648629,-100.279387,2026-05-01 22:28:00,1,5,2026,22,28,127.2,2.6,140,0.42,59.16,44215,126.3,4.09,373,0.72,58.96,59768,25.648629_-100.279387
25.648629,-100.279387,2026-05-02 00:26:00,2,5,2026,0,26,127.2,2.95,282,0.74,59.16,44235,127.4,2.52,290,0.9,58.96,59802,25.648629_-100.279387
25.648629,-100.279387,2026-05-02 02:07:00,2,5,2026,2,7,129.2,2.9,315,0.83,59.18,44240,127.6,14.03,1778,0.99,58.93,59815,25.648629_-100.279387
25.648629,-100.279387,2026-05-02 03:19:00,2,5,2026,3,19,129.3,2.54,269,0.81,59.15,44243,127.5,12.45,1418,0.89,58.92,59833,25.648629_-100.279387
25.648629,-100.279387,2026-05-02 04:14:00,2,5,2026,4,14,129.1,2.43,262,0.83,59.2,44246,128.0,2.72,323,0.92,58.96,59842,25.648629_-100.279387
25.648629,-100.279387,2026-05-02 05:08:00,2,5,2026,5,8,129.5,2.54,142,0.43,59.15,44248,128.6,11.16,1294,0.9,58.93,59849,25.648629_-100.279387
25.648629,-100.279387,2026-05-02 05:56:00,2,5,2026,5,56,130.0,2.42,236,0.74,59.18,44257,127.8,12.04,1365,0.88,58.92,59863,25.648629_-100.279387
25.648629,-100.279387,2026-05-02 07:15:00,2,5,2026,7,15,128.9,2.4,232,0.74,59.13,44260,127.0,12.05,1360,0.88,58.92,59873,25.648629_-100.279387
25.648629,-100.279387,2026-05-02 08:15:00,2,5,2026,8,15,128.9,2.58,241,0.72,59.16,44262,127.8,2.5,289,0.9,58.93,59882,25.648629_-100.279387
25.648629,-100.279387,2026-05-02 09:07:00,2,5,2026,9,7,128.5,2.51,238,0.73,59.15,44264,127.2,12.92,1512,0.91,58.93,59888,25.648629_-100.279387
