timestamp,voltage_V,current_A,power_W,pf,freq_Hz,energy_Wh,energy_kWh
2026-05-12 14:40:49,123.1,0.046,4.5,0.78,58.92,20410,20.41
2026-05-12 14:46:00,122.7,0.046,4.4,0.79,58.95,20410,20.41
2026-05-12 16:12:42,122.1,0.046,4.4,0.77,58.96,20410,20.41
2026-05-12 17:31:51,122.1,0.046,4.4,0.78,58.95,20420,20.42
2026-05-12 19:26:05,123.2,0.046,4.5,0.77,58.9,20430,20.43
2026-05-12 23:33:28,122.4,0.046,4.4,0.78,58.95,20450,20.45
2026-05-13 02:21:54,125.2,1.071,78.8,0.58,58.92,20770,20.77
2026-05-13 05:14:20,126.2,0.131,11.7,0.7,58.87,20930,20.93
2026-05-13 07:32:41,125.8,0.048,4.6,0.76,58.95,20980,20.98
2026-05-13 10:08:54,125.4,0.047,4.6,0.77,58.92,20990,20.99
2026-05-13 12:19:55,125.2,0.047,4.6,0.77,58.95,21000,21.0
2026-05-13 14:15:32,124.0,0.046,4.5,0.77,58.92,21000,21.0
2026-05-13 15:48:16,123.3,0.046,4.5,0.78,58.95,21010,21.01
2026-05-13 17:05:45,122.9,0.046,4.5,0.78,58.9,21020,21.02
2026-05-13 18:18:29,122.6,0.045,4.4,0.78,58.96,21020,21.02
2026-05-13 22:17:22,122.0,0.045,4.4,0.79,58.93,21040,21.04
2026-05-14 01:26:17,123.9,1.95,226.4,0.93,58.92,21100,21.1
2026-05-14 03:57:53,126.3,1.018,74.6,0.58,58.9,21480,21.48
2026-05-14 05:57:43,126.5,1.075,115.7,0.84,58.9,21610,21.61
2026-05-14 08:30:38,125.7,0.048,4.6,0.76,58.9,21640,21.64
2026-05-14 10:31:57,124.2,0.047,4.6,0.77,58.93,21640,21.64
2026-05-14 12:21:41,124.6,0.047,4.5,0.77,58.92,21640,21.64
2026-05-14 14:18:17,123.4,0.046,4.4,0.77,58.95,21640,21.64
2026-05-14 15:40:35,121.6,0.046,4.4,0.78,58.95,21640,21.64
2026-05-14 16:57:12,122.1,0.045,4.3,0.78,58.93,21640,21.64
2026-05-14 18:01:24,121.1,0.045,4.3,0.78,58.96,21640,21.64
2026-05-14 22:31:34,123.7,2.155,246.3,0.92,58.92,22000,22.0
2026-05-15 01:44:45,124.8,1.203,99.1,0.65,58.93,23360,23.36
2026-05-15 04:24:36,125.6,4.16,508.7,0.97,58.92,24050,24.05
2026-05-15 06:22:04,125.3,1.079,91.0,0.67,58.95,24450,24.45
2026-05-15 09:04:46,126.4,0.048,4.6,0.75,58.95,24530,24.53
2026-05-15 11:03:01,126.2,0.048,4.6,0.76,58.95,24540,24.54
2026-05-15 12:58:49,124.7,0.047,4.5,0.76,58.9,24550,24.55
2026-05-15 14:20:13,124.1,0.047,4.5,0.77,58.95,24550,24.55
2026-05-15 15:31:59,123.2,0.046,4.4,0.77,58.95,24560,24.56
2026-05-15 16:49:28,121.8,0.045,4.3,0.78,58.93,24560,24.56
2026-05-15 17:07:07,120.5,0.045,4.2,0.78,58.95,24560,24.56
2026-05-15 17:34:26,121.7,0.045,4.4,0.79,58.96,24570,24.57
2026-05-15 17:35:22,122.3,0.045,4.3,0.77,58.92,24570,24.57
2026-05-15 17:42:07,121.9,0.044,4.3,0.78,58.96,24570,24.57
2026-05-15 19:22:21,122.3,0.045,4.3,0.78,58.93,24570,24.57
2026-05-15 23:00:24,123.5,0.046,4.4,0.77,58.93,24590,24.59
2026-05-16 01:22:46,124.4,0.047,4.5,0.77,58.96,24600,24.6
2026-05-16 03:15:18,124.7,1.917,221.0,0.92,58.92,24980,24.98
2026-05-16 04:40:52,125.9,1.076,77.8,0.57,58.98,25170,25.17
2026-05-16 05:51:59,126.2,1.12,83.0,0.58,58.93,25260,25.26
2026-05-16 07:23:54,126.2,0.048,4.6,0.76,58.93,25280,25.28
2026-05-16 08:42:26,125.3,0.047,4.5,0.76,58.95,25280,25.28
2026-05-16 09:58:52,125.5,0.048,4.6,0.76,58.93,25290,25.29
2026-05-16 11:09:03,125.5,0.047,4.5,0.76,58.93,25290,25.29
2026-05-16 12:09:43,124.2,0.047,4.5,0.76,58.93,25300,25.3
2026-05-16 13:36:31,123.5,0.046,4.5,0.77,58.98,25300,25.3
2026-05-16 14:26:11,122.9,0.045,4.4,0.78,58.93,25310,25.31
2026-05-16 15:31:36,122.5,0.045,4.3,0.78,58.95,25310,25.31
2026-05-16 16:27:52,123.1,0.046,4.4,0.77,58.92,25310,25.31
2026-05-16 17:33:52,122.4,0.045,4.3,0.77,58.93,25320,25.32
2026-05-16 19:29:55,123.6,0.046,4.4,0.78,58.93,25330,25.33
2026-05-16 23:33:50,123.2,1.228,132.3,0.87,58.95,25710,25.71
2026-05-17 01:59:50,125.5,1.152,83.4,0.57,58.96,25930,25.93
2026-05-17 03:56:46,125.3,0.843,61.4,0.58,58.92,26040,26.04
2026-05-17 05:12:00,125.7,0.885,64.9,0.58,58.93,26130,26.13
2026-05-17 06:08:16,126.7,1.384,161.6,0.91,58.93,26160,26.16
2026-05-17 08:00:41,126.7,0.048,4.6,0.76,58.96,26200,26.2
2026-05-17 09:31:28,126.7,0.048,4.7,0.76,58.95,26210,26.21
2026-05-17 10:36:40,126.8,0.048,4.7,0.76,58.92,26210,26.21
2026-05-17 11:39:47,125.8,0.048,4.7,0.76,58.95,26220,26.22
2026-05-17 12:44:02,124.7,0.047,4.5,0.77,58.9,26220,26.22
2026-05-17 14:04:53,123.1,0.045,4.4,0.78,58.93,26230,26.23
2026-05-17 15:10:39,122.8,0.045,4.4,0.79,58.92,26230,26.23
2026-05-17 16:11:00,123.0,0.045,4.4,0.78,58.92,26240,26.24
2026-05-17 17:14:17,123.3,0.045,4.4,0.79,58.92,26240,26.24
2026-05-17 18:13:46,122.8,0.045,4.4,0.79,58.96,26250,26.25
2026-05-17 22:45:58,121.5,2.043,232.0,0.93,58.9,26310,26.31
2026-05-18 02:45:15,124.5,0.872,61.9,0.56,58.93,26780,26.78
2026-05-18 06:32:20,125.0,0.132,3.8,0.23,58.93,27000,27.0
2026-05-18 10:06:02,121.8,0.046,4.4,0.79,58.9,27010,27.01
2026-05-18 10:33:13,122.9,0.046,4.4,0.78,58.9,27010,27.01
2026-05-18 12:14:38,123.3,0.045,4.4,0.78,58.92,27020,27.02
2026-05-18 14:05:10,122.5,0.045,4.4,0.79,58.93,27020,27.02
2026-05-18 15:41:22,121.1,7.649,898.8,0.96,58.96,27190,27.19
2026-05-18 17:02:36,120.2,7.582,886.2,0.97,58.96,28380,28.38
2026-05-18 19:25:58,121.3,0.045,4.3,0.79,58.9,29430,29.43
2026-05-18 23:49:10,123.2,1.295,93.2,0.58,58.96,29780,29.78
2026-05-19 03:44:04,125.3,0.837,60.6,0.57,58.88,30070,30.07
2026-05-19 06:39:49,124.7,0.047,4.5,0.77,58.9,30230,30.23
2026-05-19 09:00:51,125.1,0.047,4.5,0.77,58.95,30240,30.24
2026-05-19 09:27:18,125.1,0.046,4.5,0.77,58.9,30240,30.24
2026-05-19 10:03:17,124.3,0.047,4.5,0.77,58.93,30240,30.24
2026-05-19 12:17:56,123.4,0.047,4.5,0.78,58.9,30250,30.25
2026-05-19 14:08:34,121.6,0.046,4.4,0.78,58.9,30260,30.26
2026-05-19 15:48:56,123.7,0.046,4.5,0.78,58.95,30270,30.27
2026-05-19 17:02:39,123.4,0.046,4.4,0.77,58.92,30270,30.27
2026-05-19 19:27:10,124.7,0.047,4.6,0.77,58.96,30280,30.28
2026-05-19 23:50:19,122.7,1.992,228.5,0.93,58.9,30410,30.41
2026-05-20 03:35:35,125.4,0.127,11.0,0.69,58.92,30780,30.78
2026-05-20 06:10:37,126.2,1.166,128.9,0.87,58.92,30900,30.9
2026-05-20 10:00:31,125.3,0.048,4.6,0.77,58.93,30980,30.98
2026-05-20 12:28:08,124.7,0.047,4.6,0.77,58.92,30990,30.99
2026-05-20 14:38:23,123.8,0.046,4.4,0.77,58.93,31000,31.0
2026-05-20 16:15:14,124.6,0.047,4.5,0.77,58.9,31010,31.01
2026-05-20 17:42:12,124.3,0.047,4.5,0.77,58.88,31020,31.02
