latitud,longitud,timestamp,day,month,year,hour,minute,voltage_V_A,current_A_A,power_W_A,pf_A,freq_Hz_A,energy_Wh_A,voltage_V_B,current_A_B,power_W_B,pf_B,freq_Hz_B,energy_Wh_B,voltage_V_C,current_A_C,power_W_C,pf_C,freq_Hz_C,energy_Wh_C,voltage_V_D,current_A_D,power_W_D,pf_D,freq_Hz_D,energy_Wh_D,id_punto
25.645697,-100.286587,2026-04-30 14:09:00,30,4,2026,14,9,121.7,17.53,1430,0.66,59.04,477,0,16.99,1349,0.64,59.04,465,120.8,0.44,43,0.8,58.96,606,0,0.48,45,0.77,58.96,649,25.645697_-100.286587
25.645697,-100.286587,2026-04-30 14:45:00,30,4,2026,14,45,121.8,14.95,1195,0.65,59.02,485,0,14.79,1163,0.64,59.02,473,121.8,0.44,43,0.8,58.93,606,0,0.49,46,0.76,58.93,649,25.645697_-100.286587
25.645697,-100.286587,2026-04-30 15:41:00,30,4,2026,15,41,121.2,15.72,1274,0.66,59.01,495,0,15.37,1201,0.64,59.01,483,120.7,0.43,42,0.8,58.93,606,0,0.49,46,0.77,58.93,650,25.645697_-100.286587
25.645697,-100.286587,2026-04-30 16:36:00,30,4,2026,16,36,121.6,17.82,1388,0.63,58.99,505,0,17.62,1357,0.63,58.99,492,121.1,0.44,43,0.8,58.93,607,0,0.5,46,0.76,58.93,650,25.645697_-100.286587
