latitud;longitud;timestamp;day;month;year;hour;minute;voltage_V_A;current_A_A;power_W_A;pf_A;freq_Hz_A;energy_Wh_A;energy_reverse_Wh_A;direction_A;voltage_V_B;current_A_B;power_W_B;pf_B;freq_Hz_B;energy_Wh_B;energy_reverse_Wh_B;direction_B
25,618982;-100,29505;1/5/2026 14:33;1;5;2026;14;33;134,4;4,246;364,8;0,63;58,84;13635;8478;FORWARD;134,4;1,93;198,8;0,76;58,84;9343;10409;REVERSE
25,618982;-100,29505;1/5/2026 15:30;1;5;2026;15;30;133,6;6,652;700,3;0,78;58,82;13693;8478;FORWARD;133,6;4,495;570,5;0,94;58,82;9343;10456;REVERSE
25,618982;-100,29505;1/5/2026 16:27;1;5;2026;16;27;133,8;1,831;152,5;0,62;58,79;13707;8478;FORWARD;133,8;1,176;11,5;0,07;58,79;9344;10458;REVERSE
25,618982;-100,29505;1/5/2026 17:28;1;5;2026;17;28;133,8;2,327;220,6;0,7;58,82;13724;8478;FORWARD;133,8;1,06;64,7;0,45;58,82;9344;10462;REVERSE
25,618982;-100,29505;1/5/2026 19:12;1;5;2026;19;12;134,6;3,114;287,8;0,68;58,81;13777;8478;FORWARD;134,6;1,715;172;0,74;58,81;9344;10487;REVERSE
25,618982;-100,29505;1/5/2026 22:28;1;5;2026;22;28;135,6;1,784;175;0,72;58,82;13889;8478;FORWARD;135,6;3,131;306,5;0,72;58,82;9344;10573;REVERSE
25,618982;-100,29505;2/5/2026 0:26;2;5;2026;0;26;136;1,754;170,7;0,71;58,84;13923;8478;FORWARD;136;2,141;197,6;0,67;58,84;9344;10632;REVERSE
25,618982;-100,29505;2/5/2026 2:07;2;5;2026;2;7;136,7;1,775;182,7;0,75;58,81;13952;8478;FORWARD;136,7;1,858;166,7;0,65;58,81;9344;10661;REVERSE
25,618982;-100,29505;2/5/2026 3:19;2;5;2026;3;19;136,7;1,812;184,3;0,74;58,76;13973;8478;FORWARD;136,7;1,857;166,6;0,65;58,76;9344;10681;REVERSE
25,618982;-100,29505;2/5/2026 4:14;2;5;2026;4;14;136,6;1,768;176,5;0,72;58,81;13990;8478;FORWARD;136,6;1,607;127,7;0,58;58,81;9344;10695;REVERSE
25,618982;-100,29505;2/5/2026 5:08;2;5;2026;5;8;137,1;1,755;182,4;0,75;58,79;14006;8478;FORWARD;137,1;1,611;128,5;0,58;58,79;9344;10707;REVERSE
25,618982;-100,29505;2/5/2026 5:56;2;5;2026;5;56;136,8;1,453;136,7;0,68;58,81;14021;8478;FORWARD;136,8;1,607;127,7;0,58;58,81;9344;10717;REVERSE
25,618982;-100,29505;2/5/2026 7:15;2;5;2026;7;15;136,3;1,506;111,7;0,54;58,78;14043;8478;FORWARD;136,3;1,073;78,5;0,53;58,78;9344;10734;REVERSE
25,618982;-100,29505;2/5/2026 8:15;2;5;2026;8;15;136,4;1,43;99,3;0,5;58,79;14054;8478;FORWARD;136,4;1,098;41,7;0,27;58,79;9344;10740;REVERSE
25,618982;-100,29505;2/5/2026 9:07;2;5;2026;9;7;136,3;1,643;9,6;0,04;58,81;14058;8478;FORWARD;136,3;1,822;126,2;0,5;58,81;9347;10741;FORWARD
25,618982;-100,29505;2/5/2026 9:59;2;5;2026;9;59;135,7;6,087;208,3;0,25;58,79;14064;8480;REVERSE;135,7;2,053;163,5;0,58;58,79;9357;10741;FORWARD
25,618982;-100,29505;2/5/2026 11:00;2;5;2026;11;0;136,1;2,567;232,4;0,66;58,82;14066;8506;REVERSE;136,1;3,775;374,4;0,72;58,82;9386;10741;FORWARD
25,618982;-100,29505;2/5/2026 11:53;2;5;2026;11;53;135,9;3,411;372,9;0,8;58,82;14066;8553;REVERSE;135,9;4,722;498,3;0,77;58,82;9421;10741;FORWARD
25,618982;-100,29505;2/5/2026 12:45;2;5;2026;12;45;135,4;5,905;657;0,82;58,79;14066;8592;REVERSE;135,4;4,082;356,5;0,64;58,79;9455;10741;FORWARD
25,618982;-100,29505;2/5/2026 13:43;2;5;2026;13;43;135,7;3,298;339,7;0,75;58,78;14066;8636;REVERSE;135,7;4,043;401,9;0,73;58,78;9495;10741;FORWARD
25,618982;-100,29505;2/5/2026 14:26;2;5;2026;14;26;135,6;2,144;128;0,43;58,76;14066;8650;REVERSE;135,6;2,471;126,9;0,37;58,76;9510;10741;FORWARD
25,618982;-100,29505;2/5/2026 15:08;2;5;2026;15;8;135,6;1,921;105,1;0,4;58,76;14066;8656;REVERSE;135,6;2,122;133,6;0,46;58,76;9517;10741;FORWARD
