latitud;longitud;timestamp;day;month;year;hour;minute;voltage_V_A;current_A_A;power_W_A;pf_A;freq_Hz_A;energy_Wh_A;voltage_V_B;current_A_B;power_W_B;pf_B;freq_Hz_B;energy_Wh_B
25,650767;-100,278048;19/5/2026 9:27;19;5;2026;9;27;126,3;4,513;561,7;0,98;59,07;12710;0;4,712;587;0,98;59,07;10570
25,650767;-100,278048;19/5/2026 10:03;19;5;2026;10;3;124,5;1,367;51,8;0,3;59,09;12830;0;0;0;1;59,09;10670
25,650767;-100,278048;19/5/2026 12:17;19;5;2026;12;17;125,8;6,611;805,4;0,96;59,06;13720;0;4,803;598,9;0,99;59,06;11270
25,650767;-100,278048;19/5/2026 14:08;19;5;2026;14;8;126,3;1,7;81,3;0,37;59,07;15310;0;4,544;389,1;0,67;59,07;13230
25,650767;-100,278048;19/5/2026 15:48;19;5;2026;15;48;126,8;2,35;162,3;0,54;59,09;15520;0;3,946;309,7;0,61;59,09;13540
25,650767;-100,278048;19/5/2026 17:02;19;5;2026;17;2;126,5;1,837;100,4;0,43;59,07;15660;0;1,051;27,1;0,2;59,07;14090
25,650767;-100,278048;19/5/2026 19:27;19;5;2026;19;27;127;5,283;649,1;0,96;59,12;16830;0;4,672;586,7;0,98;59,12;14760
25,650767;-100,278048;19/5/2026 23:50;19;5;2026;23;50;125,7;3,827;413,1;0,85;59,07;21070;0;2,977;337,2;0,9;59,07;18670
25,650767;-100,278048;20/5/2026 3:35;20;5;2026;3;35;127,4;5,261;644,4;0,95;59,07;23130;0;4,49;564,6;0,98;59,07;20500
25,650767;-100,278048;20/5/2026 6:10;20;5;2026;6;10;127,6;1,705;100,5;0,46;59,1;24190;0;0,851;25;0,23;59,1;21380
25,650767;-100,278048;20/5/2026 10:00;20;5;2026;10;0;125,9;4,842;486,6;0,79;59,1;26370;0;3,261;299,6;0,72;59,1;22860
25,650767;-100,278048;20/5/2026 12:28;20;5;2026;12;28;125,7;2,702;218,7;0,64;59,07;26920;0;0;0;1;59,07;23380
25,650767;-100,278048;20/5/2026 14:38;20;5;2026;14;38;125,9;3,155;328,7;0,82;59,09;27780;0;1,076;24,2;0,17;59,09;23700
